апарат,разсев,отливки,,активност,обем,милиарди,общ-обем,общи милиарди
операция,колония,обем,милиарди,Кт,Кт,Кт,,
7-5В10159,4/6,4,26.68,13270,16.5,218.96,20.5,245.64
8-5В10162,5/7,1,7.3,9570,15.8,151.21,16.8,158.51
3-5В10164,5/7,,,14040,16.2,227.45,16.2,227.45
1-5В10165,4/15,1.5,14.77,12850,16.1,206.89,17.6,221.66
6-5В10166,5/1,1.3,18.21,15470,15,232.05,16.3,250.26
2-5В10167,5/1,0.8,11.04,16220,15.5,251.41,16.3,262.45
5-5В10170,5/7,,,15800,15.5,244.90,15.5,244.90
3-5В10173,4/3,,,15250,14.5,221.13,14.5,221.13
7-5В10177,5/1,1.8,18.84,14620,16.2,236.84,18,255.68
4-5В10178,5/6,,,12630,14.1,178.08,14.1,178.08
5-5В10179,5/6,1,11.7,14810,15.6,231.04,16.6,242.74
9-5В10181,5/7,,,16000,16.3,260.80,16.3,260.80
3-5В10183,5/7,,,13410,15.1,202.49,15.1,202.49
5-6В10001,5/7,2.7,24.73,11700,15.4,180.18,18.1,204.91
8-6В10003,6/11,1.2,10.8,15130,15.4,233.00,16.6,243.80
9-6В10004,6/11,2.9,20.78,11000,16.3,179.30,19.2,200.08
4-6В10012,6/11,0.6,6.3,13590,16,217.44,16.6,223.74
5-6В10014,6/9,1.4,14.43,12820,14.5,185.89,15.9,200.32
7-6В10019,5/1,6.2,49.36,13550,14.1,191.06,20.3,240.42
8-6В10021,6/11,3.1,29.25,14510,15.1,219.10,18.2,248.35
9-6В10023,1/1,,,15080,15.5,233.74,15.5,233.74
8-6В10027,1/9,,,16030,16,256.48,16,256.48
9-6В10029,1/9,,,15060,15.5,233.43,15.5,233.43
7-6В10037,1/9,0.5,3.2,14470,16.2,234.41,16.7,237.61
1-6В10038,1/9,0.8,6.56,13090,16.1,210.75,16.9,217.31
5-5В10174,5/7,1.4,20.3,15110,15.5,234.21,16.9,254.51
